"","region","country","mean_life","mean_alcohol","mean_amortality","mean_bmi","mean_water","mean_pop","mean_health_spend","mean_life60","mean_imort","mean_edu","mean_school","mean_gni"
"90","Africa","Benin",58.3033141176471,1.39674117647059,267.695123529412,22.8647058823529,64.0084288235294,8760.76294117647,4.0646,16.7844217647059,0.0797226470588235,3.8249575,2.46291,1477.85714285714
"91","Africa","South Sudan",54.2892558823529,NA,363.716970588235,NA,41.0001683333333,8648.99517647059,NA,15.94885,0.0861617647058824,1.346922,5.72866,2518.33333333333
"92","Europe","Austria",80.28632,12.1548264705882,77.0421323529412,25.3117647058824,100,8366.12111764706,9.86196411764706,23.3972470588235,0.00377588235294118,5.45253,11.8614090909091,36150.7142857143
"93","Africa","Burundi",56.0031564705882,5.11733058823529,334.987770588235,21.1764705882353,55.3656223529412,8230.62835294118,8.26919941176471,16.1595941176471,0.0747261764705882,5.02869928571429,2.226685,658.571428571429
"94","Americas","Honduras",73.3297052941176,2.74048470588235,159.114152941176,25.8,89.6745052941177,7956.18482352941,7.82640117647059,21.61803,0.0228867647058824,6.45934,5.857095,3560.71428571429
"95","Europe","Switzerland",81.8481870588235,10.2488794117647,61.3545241176471,25.0176470588235,100,7680.537,10.8298835294118,24.5287047058824,0.00418529411764706,5.06012352941177,13.6481185714286,44119.2857142857
"96","Europe","Bulgaria",73.3550352941176,10.6889070588235,148.080123529412,25.8411764705882,99.4793088235294,7544.77517647059,7.13731529411765,18.8155458823529,0.0101744117647059,3.72772538461538,10.8490816666667,11163.5714285714
"97","Europe","Tajikistan",68.6397523529412,0.724659411764706,141.565676470588,25.0117647058824,67.5736911764706,7296.75694117647,5.58931176470588,17.5693488235294,0.0528241176470588,3.41087357142857,10.82551,1665
"98","Europe","Israel",80.71603,2.64895235294118,66.50145,26.7529411764706,100,7014.35182352941,7.06073176470588,23.5704811764706,0.00407235294117647,5.85392,12.513335,25624.2857142857
"99","Western Pacific","Papua New Guinea",63.9486582352941,0.725367647058824,245.443935294118,24.8529411764706,36.5333876470588,7005.77064705882,2.44170117647059,16.5090847058824,0.0534058823529412,NA,NA,1725.71428571429
"100","Eastern Mediterranean","Jordan",72.9983217647059,0.465093529411765,120.220223529412,28.4,99.1777923529412,6906.28358823529,8.51066117647059,18.6185994117647,0.0194779411764706,3.84229,8.59023666666667,9245
"101","Eastern Mediterranean","United Arab Emirates",75.8269729411765,1.92385235294118,87.0993476470588,27.8,95.9500676470588,6613.79305882353,3.06227176470588,19.3418458823529,0.00798794117647059,NA,10.013655,78100
"102","Africa","Togo",57.1657776470588,1.28683235294118,310.614064705882,22.8529411764706,55.01406,6136.98829411765,4.87359823529412,14.5616952941176,0.0658029411764706,3.96144235294118,3.880805,1065
"103","Americas","El Salvador",71.3727011764706,2.59352529411765,198.049505882353,26.8823529411765,87.1598229411765,6129.20970588235,8.12706,20.6615358823529,0.0192591176470588,3.709348,6.30155444444444,6285
"104","Americas","Paraguay",72.7698305882353,5.71900529411765,157.077652941176,25.8176470588235,87.4200158823529,6071.06282352941,5.10574705882353,20.6583005882353,0.0226441176470588,3.403978,7.67875909090909,5382.85714285714
"105","Western Pacific","Lao People's Democratic Republic",62.3529717647059,5.12439235294118,231.3613,21.9764705882353,63.7463511764706,6059.56758823529,3.08121,16.2624947058824,0.0674497058823529,2.32341357142857,NA,2937.85714285714
"106","Africa","Sierra Leone",46.79126,3.67956058823529,452.132241176471,22.4529411764706,49.3381305882353,6051.97858823529,12.4229023529412,12.3761864705882,0.126593823529412,3.00496333333333,NA,1160
"107","Eastern Mediterranean","Libya",71.94841,0.00972647058823529,138.914905882353,27.4470588235294,91.4131582352941,5990.56811764706,3.67241916666667,18.0492223529412,0.0170808823529412,NA,NA,23881.25
"108","Americas","Nicaragua",72.8804252941176,3.58407705882353,169.252288235294,26.5411764705882,81.3069064705882,5675.79688235294,6.79945529411765,21.4671305882353,0.0238923529411765,3.50596,NA,3460
"109","Western Pacific","Singapore",81.0706052941176,1.77794294117647,65.4562752941176,23.5294117647059,100,5653.634,3.42647529411765,23.6236441176471,0.00238617647058824,3.22785714285714,10.9386908333333,56977.1428571429
